en;ru
purple rape/blue indigo;фиолетовый
purple rape/blue/indigo/olive green;фиолетовый
purple rape/indigo blue;фиолетовый
purple;фиолетовый
purple/silber;фиолетовый
purple/white;фиолетовый
racinggreen;зеленый
racinggreen/silver;зеленый
racinggreen/white/nightblue;зеленый
rainbow;радуга
ranat;бордовый
ranit;ранит
ranit/bordeaux;бордовый
rapefruit;грейпфрут
raphit;рафит
raphite;рафит
raphite/darkmustang;рафит
raphite/pink;розовый
raspberry;ягодный
rau melange;меланж
rau;красный
rau/aqua/grau;голубой/серый
rau/beige;бежевый
rau/blau;синий
rau/gelb;желтый
rau/karo;каро
rau/lichtgrau/weiss;серый/белый
rau/orange;оранжевый
rau/orchid;орхидея
rau/orchid/rose;орхидея
rau/petrol;голубой
rau/pink;розовый
rau/schwarz;черный
rau/silber;серебро
rau/tuerkis;голубой
rauchblau;синий
rau-schwarz;черный
real teal;сине-зеленый
red chili melon;красный
red pepper;красный
red;красный
red/navy;красный/синий
red/white reen/black;красный/белый/черный
redmetal;красный
reen ash;зеленый
reen glow;зеленый
reen jungle;зелено-голубой
reen leaf;зеленый
reen;зеленый
reen/grey/navy;зеленый
reen/silver;зеленый
regatta blue;синий
regenbogen;светлый
renadine;красный
rey camouflage;камуфляж
rey melange;меланж
rey melange/sky blue/smoked blue/anthracite;меланж/голубой/серый
rey mottled;серый
rey orange;оранжевый
rey wash;серый
rey;серый
rey/grey melange/grapevine;меланж
rey/mint/navy;мятный/синий
rey/navy;синий
rey/pink;розовый
rey/rose/lightrose;розовый
rey-grapevine;винный
reyhound;рейхаунд
rey-melange;меланж
rhabarber;зеленый
rhubarb;розовый
rinse;синий
rinsed;синий
romano/braun;коричневый
root;коричневый
ros old;розовый
rosa;розовый
rosa/rosa;розовый
rosa/silber;розовый
rose - pferd;розовый
rose tan;розовый
rose/silber;розовый
rosewood;розовый
rosГ© rau;розовый
rosГ©;розовый
rot meliert;красный
rot;красный
rot/marine;красный
rot/weiss;красный
rouge melange;розовый
rouge;розовый
rouge/asphalt;розовый
rouge/navy/ice;розовый
royal blue/silver, black;синий
royal shine;синий
royal;синий
royalblau;синий
royalblau/rot;синий
royalblue;синий
rubinrot;красный
ruen;бежевый
ruen/marine;синий
ruen/navy;синий
rumba red;красный
sahara;сахара
sand;песочный
sandmelange;меланж
saphir;сапфир
sapphire blue;сапфир
sapphire;сапфир
sapphire/chili;сапфир
schiefer;серый
schlamm;серый
schoko;шоколадный
schoko/beige/braun;шоколадный/коричневый/бежевый
schoko/braun;шоколадный
schoko/creme/bleu;шоколадный/кремовый/синий
schoko/lila/bleu;шоколадный/фиолетовый
schoko/marine/creme;шоколадный/синий/кремовый
schwarz lack;черный
schwarz melange;черный
schwarz old;черный
schwarz orange blau;черный/оранжевый/синий
schwarz rau;черный
schwarz rau/pink;черный/розовый
schwarz ruen;черный
schwarz ruen/schwarz;черный
schwarz;черный
schwarz/anthrazit rau;черный/серый
schwarz/anthrazit;черный/серый
schwarz/beige;черный/бежевый
schwarz/blau;черный/синий
schwarz/braun rau;черный/коричневый
schwarz/braun;черный/коричневый
schwarz/bunt;черный
schwarz/carbon;черный
schwarz/chrom;черный
schwarz/cremeweiss old;черный
schwarz/edelstahl;черный
schwarz/einhorn;черный
schwarz/fuchsia;черный/фуксия
schwarz/hellblau;черный/синий
schwarz/lack;черный
schwarz/lila/blau;черный/фиолетовый
schwarz/lime;черный/лайм
schwarz/messing;черный
schwarz/mocca;черный/мокка
schwarz/mokka;черный/мокка
schwarz/moro;черный
schwarz/natur;черный
schwarz/orange;черный/оранжевый
schwarz/pink;черный/розовый
schwarz/pink/schwarz;черный/розовый
schwarz/rot old;черный
schwarz/rot;черный/красный
schwarz/rot/schwarz;черный/красный
schwarz/royal/schwarz;черный/синий
schwarz/royalblau/schwarz;черный/синий
schwarz/schiefer;черный
schwarz/schieffer;черный
schwarz/schmetterlinge;черный
schwarz/schwarz;черный
schwarz/silber;черный/серебро
schwarz/stone;черный
schwarz/stonewashed;черный
schwarz/titan;черный
schwarz/tuerkis;черный/голубой
schwarz/turnier;черный
schwarz/weiss;черный/белый
sea reen;синий
sea/blue/white;синий
seagreen;сине-зеленый
seagreen/blue rey;сине-зеленый
shiitake;шитаке
silber;серебро
silber/blau;серебро
silber/deepteal;серебро
silber/navy;серебро
silbergrau;серебро
silly brown;серебро
silver;серебро
silver/blue;серебро
silver/dark rey;серебро
silver/navy;серебро
silver/plum;серебро
silverbirc;серебро
sky bleach;небесный
sky blue;небесный
skyblue;небесный
skyblue/navy/white;небесный
skyblue/white/navy;небесный
skycaptain;небесный
smaragd;зеленый
smoked blue;синий
smoked rey;серый
smokedblue;синий
snow white;белый
softgrey/tealblue;серый
solar power;желтый
spearmint;мятный
sport olive;оливковый
starlight;звезды
stars & stripes;звезды
steel rey;серый
steel;серый
steel/berry;серый/ягодный
steelblue;голубой
steelgrey;серый
sterne/marine;синий
stone;серый
stone/lime;серый
stonegrey;серый
stonewash;серый
strawberry pink;розовый
super dark;темный
sweet berry;ягодный
sweet spot;розовый
sweet spots;розовый
tan;бежевый
tan/teak;бежевый
tanne;бежевый
tannengruen;бежевый
taupe;бежевый
taupe/rose/mokka;бежевый
teak;бежевый
tealblue;синий
team;команда
thyme;тема
tiger;тигр
tile blue;синий
titan;титан
titangrey;серый
titanium;серый
tobacco;табак
toffee;кофе
tomato;красный
topas;топаз
total eclipse;серый
transparent;транспарент
true love;любовь
true/navy;синий
trueffel;трюфель
truffle;трюфель
tuerkis;голубой
tuerkis/aqua/creme;голубой
tuerkis/camel;голубой
tuerkis/schwarz;голубой
twilight raphite;голубой
twilight;голубой
un metal;металл
unmetal;металл
unten;бежевый
vapor blue melange;синий
venice check;бежевый
vernickelt ruen;серый
vernickelt/marine;серебро/синий
vernickelt/schoko;серебро/синий
vernickelt/schwarz;серебро/черный
viola red;красный
violett;фиолетовый
voegel rau;зеленый
walnuss;бежевый
walnut;бежевый
water lily;голубой
water;голубой
weg red;красный
weiss estreift;бежевый
weiss lack;бежевый
weiss rau;бежевый
weiss;белый
weiss/blau;белый/синий
weiss/caramel/weiss;белый/карамель
weiss/darkblue;белый/темно-синий
weiss/rot;белый/красный
weiss/silber;белый/серый
weiss/spring reen;белый
weiss-schwarz;черный
whisper white;белый
white light;белый
white lure;голубой
white rey;белый
white smoke;серый
white;белый
white/black;белый/черный
white/petrol;белый/синий
white/purple;белый/фиолетовый
wicker;бежевый
wild berry;дикие ягоды
wild/white;белый
wildrose;дикая роза
windsor wine;винный
wine red;винный
wine;винный
wine/anthrazit;винный/серый
winter white;белый
wood reen;зеленый
yellow;желтый
zebra;зебра
zimt;оранжевый
